comment,behaviour,suggestion
 ज़िंदगी बना लो,Harassment,De-escalation
 तुम अभी तक ऑनलाइन क्यों हो?,Mocking,Avoid personal remarks
 इसी तरह शानदार काम करते रहो,Encouragement,Encouragement
 तुम बहुत अज्ञानी हो,Insult,"Critique ideas, not people"
" दफा हो जाओ, ट्रोल",Trolling,Avoid harassment
 तुम एक बेवकूफ हो,Abusive,Avoid name-calling
 तुम्हें और लिखना चाहिए,Encouragement,Encouragement
 यह वाकई काफ़ी सकारात्मक था,Appreciation,Positive acknowledgment
" दफा हो जाओ, ट्रोल",Trolling,Avoid hostility
 तुम एक प्रेरणा हो,Praise,Positive reinforcement
 बेहतरीन स्पष्टीकरण,Praise,Encouraging tone
 क्या तुम विषय को समझते भी हो?,Mocking,Respectful correction
 बहुत सही कहा!,Praise,Positive feedback
 किसे परवाह है?,Dismissive,Avoid dismissiveness
 यह सच में उपयोगी है,Appreciation,Positive engagement
" दफा हो जाओ, ट्रोल",Trolling,Avoid harassment
 हास्यास्पद पोस्ट,Insult,Critique content respectfully
 इसे पढ़कर मुझे अच्छा लगा,Appreciation,Positive response
 ऐसा सिर्फ़ कोई बेवकूफ ही कहेगा,Abusive,Avoid insults
 यह अब तक की सबसे बेवकूफी भरी चीज़ है जो मैंने पढ़ी है,Abusive,Avoid abusive language
 यह बहुत मददगार है,Appreciation,Positive feedback
 ऐसा सिर्फ़ कोई बेवकूफ ही कहेगा,Abusive,Respectful disagreement
" धन्यवाद, यह सच में बहुत मददगार था",Appreciation,Gratitude
तुम ज़रूर ट्रोल कर रहे हो,Accusation,Avoid accusations
 फ़ीडबैक के लिए धन्यवाद!,Neutral,Polite acknowledgment
 जानकारी के लिए धन्यवाद,Appreciation,Appreciation
 यह बहुत ही बेवकूफी भरी पोस्ट है,Insult,Respectful critique
 किसी को तुम्हारी राय की परवाह नहीं है,Harassment,Avoid silencing
 क्या आप और विवरण दे सकते हैं?,Inquiry,Polite request
 तुम बेवकूफ लग रहे हो,Insult,Avoid insults
